iter	RMSE
0	72990.56056
1	68884.73466
2	65292.35517
3	61771.07312
4	58241.51655
5	55541.32443
6	52889.03413
7	50241.80785
8	48058.64738
9	46112.52273
10	44081.97902
11	42348.148
12	40832.5038
13	39509.92328
14	38335.3406
15	37216.10683
16	36047.50815
17	34731.75139
18	33504.19137
19	32683.53273
20	31938.45161
21	31306.87136
22	30531.9158
23	30029.54847
24	29397.29741
25	29112.39259
26	28582.92648
27	28066.72635
28	27701.10922
29	27374.01766
30	26839.48323
31	26282.5485
32	25892.4425
33	25592.32144
34	25230.76594
35	24841.32945
36	24556.81846
37	24220.29468
38	23914.98267
39	23523.45958
40	23199.32014
41	22972.38015
42	22733.7788
43	22468.88187
44	22222.38749
45	22074.53829
46	21903.19337
47	21684.46391
48	21538.65604
49	21234.48013
50	21098.22734
51	20966.19912
52	20754.89405
53	20546.61904
54	20355.84972
55	20247.21888
56	20069.55415
57	19962.03461
58	19801.07184
59	19632.45466
60	19522.86695
61	19356.16594
62	19276.10139
63	19186.58244
64	19056.84378
65	18973.49767
66	18800.81252
67	18658.01639
68	18528.07193
69	18410.01759
70	18260.54402
71	18158.52364
72	18001.71828
73	17883.66377
74	17726.81629
75	17619.71204
76	17496.02997
77	17398.37452
78	17286.02612
79	17175.45467
80	17093.09544
81	17010.91341
82	16922.05056
83	16804.35837
84	16697.9973
85	16628.98109
86	16563.36135
87	16475.58176
88	16396.64458
89	16313.32721
90	16221.3239
91	16163.40608
92	16061.73811
93	15960.60023
94	15857.31186
95	15783.36184
96	15656.62428
97	15577.10793
98	15476.52261
99	15423.17034
100	15375.23049
101	15281.30378
102	15217.45859
103	15142.98029
104	15064.66925
105	15003.19097
106	14910.76435
107	14843.0875
108	14776.74057
109	14678.34044
110	14613.21812
111	14507.4018
112	14403.38628
113	14306.79934
114	14239.43664
115	14183.75175
116	14116.59192
117	14048.48842
118	13990.09166
119	13933.45489
120	13850.52042
121	13789.73268
122	13692.29014
123	13614.63889
124	13566.9909
125	13511.95897
126	13449.7774
127	13391.26522
128	13353.00466
129	13301.0082
130	13239.6691
131	13194.96113
132	13130.8499
133	13060.70932
134	12999.49802
135	12965.95877
136	12926.91582
137	12887.32593
138	12832.93804
139	12758.9037
140	12706.22586
141	12666.7161
142	12607.79041
143	12559.83296
144	12510.50669
145	12465.84197
146	12426.12807
147	12376.27327
148	12310.44747
149	12271.40676
150	12221.76811
151	12180.00292
152	12150.11929
153	12110.77712
154	12050.15809
155	12022.29489
156	11955.70332
157	11908.93429
158	11862.25406
159	11826.26359
160	11779.56911
161	11731.17323
162	11685.6383
163	11639.69576
164	11607.89525
165	11572.014
166	11534.68671
167	11486.45537
168	11448.24141
169	11399.97503
170	11365.16144
171	11326.25602
172	11273.24208
173	11248.98027
174	11232.30008
175	11190.98079
176	11156.82413
177	11118.50256
178	11090.3249
179	11049.95464
180	11000.6035
181	10961.08838
182	10930.86601
183	10900.03318
184	10862.77417
185	10815.11284
186	10775.64761
187	10742.64155
188	10701.49193
189	10662.90951
190	10632.73756
191	10609.50161
192	10577.4253
193	10545.2179
194	10510.19681
195	10463.69926
196	10404.69155
197	10372.82804
198	10331.03706
199	10296.2745
200	10253.47641
201	10238.72357
202	10201.04997
203	10149.24504
204	10112.20513
205	10073.47569
206	10038.37123
207	9995.440572
208	9946.113711
209	9910.71855
210	9882.129135
211	9858.101098
212	9820.738027
213	9796.383394
214	9774.22093
215	9741.556545
216	9711.633229
217	9692.903364
218	9664.310392
219	9644.497608
220	9615.906771
221	9576.705965
222	9547.200517
223	9498.221656
224	9471.092123
225	9444.830871
226	9400.955018
227	9379.143172
228	9345.779791
229	9321.83043
230	9292.84825
231	9245.597361
232	9215.712777
233	9190.516267
234	9167.454148
235	9147.290105
236	9113.896931
237	9084.459431
238	9056.492714
239	9025.301021
240	8978.110626
241	8942.434665
242	8925.277076
243	8901.256814
244	8873.385347
245	8850.834318
246	8812.347892
247	8793.85435
248	8762.278243
249	8736.317954
250	8706.466761
251	8679.526708
252	8659.074841
253	8643.353011
254	8617.353028
255	8591.301187
256	8575.497528
257	8528.961557
258	8506.708531
259	8474.299881
260	8452.17862
261	8427.442353
262	8411.293159
263	8386.654099
264	8358.183084
265	8336.148107
266	8316.430786
267	8288.149897
268	8272.294312
269	8239.015691
270	8213.089389
271	8192.277304
272	8167.95591
273	8147.605971
274	8124.626151
275	8104.25033
276	8071.577139
277	8043.677178
278	8018.767991
279	8006.6126
280	7996.398369
281	7966.006265
282	7941.543466
283	7920.270566
284	7906.946288
285	7895.486293
286	7882.800568
287	7868.762451
288	7847.926797
289	7828.406595
290	7804.158641
291	7779.079339
292	7764.52618
293	7743.39412
294	7717.485883
295	7706.932504
296	7665.842389
297	7654.137172
298	7623.210683
299	7586.76287
300	7573.592324
301	7545.709277
302	7521.951076
303	7501.263885
304	7484.405749
305	7467.090914
306	7451.040315
307	7431.187328
