iter	Passed	Remaining
0	4	4548
1	8	4029
2	14	4714
3	17	4464
4	21	4213
5	24	4051
6	29	4198
7	32	4070
8	36	3970
9	39	3879
10	43	3949
11	47	3912
12	50	3847
13	54	3804
14	57	3753
15	97	6001
16	105	6077
17	112	6163
18	119	6144
19	127	6239
20	138	6434
21	147	6552
22	153	6516
23	158	6426
24	162	6318
25	169	6337
26	180	6497
27	186	6487
28	193	6491
29	197	6373
30	200	6260
31	203	6160
32	208	6112
33	212	6041
34	215	5954
35	218	5860
36	223	5815
37	226	5744
38	230	5669
39	233	5599
40	236	5530
41	241	5514
42	245	5468
43	249	5429
44	261	5540
45	268	5574
46	291	5915
47	299	5934
48	308	5995
49	324	6163
50	330	6155
51	351	6414
52	357	6384
53	361	6325
54	375	6452
55	383	6460
56	391	6483
57	397	6454
58	403	6432
59	407	6385
60	414	6377
61	420	6364
62	426	6344
63	437	6398
64	442	6358
65	445	6309
66	448	6246
67	453	6218
68	457	6178
69	460	6122
70	463	6064
71	468	6037
72	471	5986
73	474	5937
74	477	5885
75	480	5835
76	484	5806
77	487	5767
78	490	5722
79	493	5678
80	497	5640
81	501	5608
82	504	5570
83	508	5549
84	512	5515
85	518	5509
86	521	5477
87	525	5447
88	529	5415
89	534	5403
90	539	5386
91	545	5388
92	551	5382
93	555	5349
94	557	5314
95	560	5280
96	566	5274
97	571	5257
98	574	5225
99	577	5194
100	582	5187
101	585	5157
102	588	5127
103	591	5098
104	597	5089
105	601	5068
106	604	5041
107	607	5014
108	613	5012
109	616	4990
110	619	4965
111	623	4941
112	628	4936
113	635	4938
114	639	4918
115	644	4914
116	649	4900
117	652	4877
118	656	4859
119	662	4860
120	667	4847
121	670	4825
122	673	4802
123	679	4799
124	682	4779
125	686	4760
126	689	4740
127	699	4762
128	702	4741
129	705	4721
130	710	4714
131	714	4696
132	717	4680
133	721	4661
134	726	4653
135	729	4637
136	733	4618
137	736	4599
138	740	4589
139	744	4574
140	748	4557
141	751	4541
142	756	4533
143	762	4529
144	765	4513
145	768	4495
146	775	4501
147	779	4485
148	782	4468
149	785	4450
150	790	4445
151	793	4428
152	796	4411
153	799	4394
154	805	4389
155	808	4374
156	811	4359
157	815	4344
158	820	4338
159	824	4326
160	828	4314
161	831	4301
162	837	4301
163	841	4291
164	845	4276
165	848	4262
166	853	4259
167	858	4250
168	861	4236
169	865	4223
170	870	4218
171	873	4205
172	877	4192
173	880	4180
174	886	4181
175	891	4171
176	901	4193
177	907	4189
178	912	4186
179	919	4188
180	923	4178
181	929	4175
182	935	4174
183	939	4168
184	943	4158
185	949	4153
186	955	4155
187	960	4146
188	965	4142
189	970	4136
190	974	4127
191	977	4115
192	983	4112
193	987	4103
194	991	4094
195	997	4090
196	1001	4083
197	1006	4075
198	1011	4071
199	1016	4064
200	1021	4061
201	1034	4086
202	1051	4127
203	1057	4124
204	1064	4126
205	1067	4112
206	1070	4099
207	1073	4087
208	1078	4081
209	1081	4069
210	1084	4056
211	1088	4044
212	1093	4038
213	1096	4026
214	1099	4015
215	1102	4003
216	1106	3990
217	1110	3982
218	1113	3970
219	1116	3957
220	1119	3945
